x,y,token
23.128938674926758,-39.94205093383789,indeed
1.5275503396987915,-53.086978912353516,situation
-37.34454345703125,-22.926267623901367,were
29.486364364624023,13.022809982299805,power
-6.808928489685059,-24.683998107910156,having
-32.99812698364258,-32.52082824707031,rather
23.474260330200195,-41.28173065185547,much
-43.187191009521484,-15.910298347473145,way
28.970455169677734,-34.88527297973633,think
17.867225646972656,-34.93383026123047,well
-36.55825424194336,-43.4011344909668,herself
-0.03548935800790787,-3.7756190299987793,these
-36.0830078125,-20.96886444091797,which
-13.14389419555664,-45.95366668701172,threatened
-9.84489917755127,-37.026641845703125,alloy
16.530092239379883,39.65536117553711,many
-0.8047506213188171,-39.12710189819336,enjoyments
2.4860472679138184,-55.21691131591797,danger
12.962671279907227,-56.86892318725586,however
-35.2208251953125,-19.105201721191406,at
-0.15800878405570984,-41.565372467041016,present
-37.120357513427734,-20.022192001342773,so
-5.861550331115723,-26.789186477661133,unperceived
-36.192440032958984,-20.95274543762207,that
33.184940338134766,-39.962772369384766,did
23.419782638549805,-26.62493324279785,not
11.705849647521973,-39.289119720458984,means
1.0494043827056885,-45.631858825683594,rank
-0.36330726742744446,-22.303489685058594,misfortunes
31.417266845703125,-1.2987854480743408,Sorrow
-56.61012268066406,-10.951557159423828,came
32.34067153930664,-15.626039505004883,--
5.300629615783691,5.835343360900879,gentle
12.213788986206055,19.29326629638672,sorrow
-34.6745491027832,-20.045059204101562,all
-23.573379516601562,28.559526443481445,shape
8.723614692687988,-51.71052169799805,disagreeable
-4.095510959625244,-56.0155143737793,consciousness
32.93655776977539,-34.901546478271484,.--
22.644601821899414,-50.33140563964844,married
37.69331359863281,-20.082551956176758,It
6.397925853729248,-41.66192626953125,loss
-27.02252769470215,-25.450197219848633,first
22.396804809570312,37.16600799560547,brought
22.645336151123047,16.424617767333984,grief
-45.01139450073242,-0.43472182750701904,on
-17.078510284423828,-48.49235153198242,wedding
-26.711374282836914,-50.15332794189453,day
-35.765541076660156,-21.130977630615234,this
